url,Name,Brand,Model,Colour,Memory,Price,Availability,Website
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"STK Hero X Smartphone, Android, 5"", 4G LTE, SIM Free, 16GB, White",STK,,,16GB,149.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 6s Plus, iOS, 5.5"", 4G LTE, SIM Free, 16GB,",Apple,,Silver,16GB,569.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Sony Xperia XZ1 Smartphone, Android, 5.2"", 4G LTE, SIM Free, 64GB,",Sony,,Black,64GB,599.00,In Stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 6, iOS, 4.7"", 4G LTE, SIM Free, 32GB, Space Grey",Apple,,,32GB,329.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7, iOS 10, 4.7"", 4G LTE, SIM Free, 128GB, (PRODUCT)RED",Apple,,,128GB,649.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Apple iPhone 7, iOS 10, 4.7"", 4G LTE, SIM Free, 256GB, (PRODUCT)RED",Apple,,,256GB,699.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Samsung Galaxy J3 Smartphone, Android, 5"", 4G LTE, Pay As You Go (£10 Top Up Included), 8GB, Black",Vodafone,,,,140.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Moto G4 Play Smartphone, Android, 5"", Pay As You Go (£10 Top Up Included), 16GB, Black",Vodafone,,,16GB,130.00,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart Ultra 7 Smartphone, Android, 5.5"", Pay As You Go (£10 Top Up Included), 16GB, Dark Grey",Vodafone,,,16GB,145.95,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Moto Z2 Play Smartphone, Android, 5.5"", 4G LTE, SIM Free, 64GB, Gold",Moto,,,64GB,399.95,Out of stock,John Lewis
https://www.johnlewis.com/browse/electricals/mobile-phones-accessories/view-all-mobile-phones/_/N-a8v,"Vodafone Smart Ultra 7 Smartphone, Android, 5.5"", Pay As You Go (£10 Top Up Included), 16GB, Silver",Vodafone,,,16GB,145.95,Out of stock,John Lewis
https://www.carphonewarehouse.com/google/pixel-2.html#!colour=blue&capacity=64GB&dealType=sf,Google Pixel 2,Google,Pixel 2,Black,,629.00,Order now!,Carphone Warehouse
https://www.carphonewarehouse.com/google/pixel-2-xl.html#!colour=black&capacity=64GB&dealType=sf,Google Pixel 2 XL,Google,Pixel 2 XL,Black,,799.00,Order now!,Carphone Warehouse
https://www.carphonewarehouse.com/google/pixel-xl.html#!colour=black&capacity=32GB&dealType=sf,Pixel XL Phone by Google,Pixel,XL Phone by Google,Black,,399.99,In Stock,Carphone Warehouse
https://www.carphonewarehouse.com/apple/iphone-8.html#!colour=silver&capacity=64GB&dealType=sf,Apple iPhone 8,Apple,iPhone 8,Gold,,699.00,In Stock,Carphone Warehouse
https://www.carphonewarehouse.com/apple/iphone-8-plus.html#!colour=spacegrey&capacity=64GB&dealType=sf,Apple iPhone 8 Plus,Apple,iPhone 8 Plus,Space Grey,,799.00,In Stock,Carphone Warehouse
